'sample #','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
56,-438,-440,-1,439,-218,-221,-79,-200,-67,213,374,371,-4,87,11
57,-442,-446,-4,444,-218,-225,-81,-197,-68,210,369,376,-3,79,10
58,-454,-455,-1,454,-226,-229,-81,-201,-76,204,364,362,-7,80,9
59,-453,-452,1,452,-226,-226,-82,-201,-73,203,363,361,-7,82,10
60,-458,-453,6,456,-232,-224,-77,-192,-63,212,369,362,-11,73,12
61,-463,-462,1,463,-231,-231,-70,-181,-56,215,370,361,-13,79,12
62,-471,-470,1,471,-236,-235,-70,-177,-57,211,367,363,-13,69,14
63,-447,-481,-34,464,-206,-258,-87,-190,-68,199,346,352,-8,61,17
64,-427,-488,-60,457,-183,-275,-93,-191,-69,195,342,345,-6,65,17
65,-432,-485,-52,458,-189,-269,-85,-180,-57,200,350,349,-6,51,16
66,-422,-491,-69,457,-176,-281,-85,-177,-56,198,342,342,-6,43,14
67,-425,-498,-73,462,-176,-286,-79,-174,-52,200,344,342,-6,47,13
68,-437,-503,-65,470,-185,-285,-72,-166,-44,206,348,346,-5,47,16
69,-423,-505,-83,464,-170,-295,-71,-158,-39,203,342,335,-11,30,21
70,-407,-507,-100,457,-153,-304,-77,-163,-46,198,327,321,-15,36,18
71,-402,-486,-83,444,-159,-285,-70,-155,-34,206,336,323,-15,32,20
72,-409,-472,-62,440,-173,-267,-58,-133,-9,225,344,326,-20,19,17
73,-461,-524,-63,492,-199,-294,-71,-145,-20,219,332,310,-24,22,16
74,-466,-549,-83,508,-191,-317,-83,-159,-35,198,322,302,-20,13,27
75,-435,-533,-97,484,-168,-315,-83,-149,-30,203,319,309,-14,6,26
76,-444,-520,-75,482,-184,-298,-78,-140,-16,210,327,317,-10,7,25
77,-450,-520,-70,485,-190,-295,-78,-142,-15,204,324,311,-11,12,27
78,-427,-522,-95,474,-165,-309,-83,-140,-16,201,319,306,-13,14,24
79,-417,-517,-100,467,-158,-309,-87,-140,-17,193,309,300,-15,14,25
80,-429,-526,-97,477,-166,-312,-85,-134,-13,193,307,296,-19,0,27
81,-423,-532,-109,478,-157,-321,-78,-120,-2,204,312,300,-19,-8,27
82,-417,-539,-121,478,-147,-331,-77,-115,4,203,310,296,-18,-5,30
83,-416,-550,-134,483,-141,-342,-80,-109,9,201,307,290,-19,-12,33
84,-421,-564,-143,493,-139,-354,-82,-102,12,202,301,284,-18,-23,35
85,-431,-570,-139,500,-146,-354,-75,-89,25,208,307,296,-12,-29,39
86,-423,-578,-156,501,-133,-368,-75,-82,29,208,301,290,-14,-27,40
87,-408,-568,-161,488,-123,-365,-64,-66,44,218,304,291,-15,-36,37
88,-386,-574,-188,480,-98,-381,-69,-67,45,213,291,282,-13,-46,45
89,-355,-599,-244,477,-55,-422,-91,-82,28,189,259,250,-18,-56,49
90,-401,-618,-217,509,-92,-418,-79,-64,48,201,265,256,-21,-66,48
91,-380,-594,-214,487,-83,-404,-63,-42,70,218,278,265,-18,-68,52
92,-324,-543,-219,433,-52,-381,-44,-11,94,238,291,283,-13,-77,50
93,-385,-594,-209,489,-87,-402,-51,-10,95,232,280,272,-11,-79,51
94,-399,-646,-247,523,-76,-447,-73,-27,81,208,258,244,-14,-87,54
95,-389,-648,-259,518,-64,-454,-77,-21,90,210,252,238,-15,-96,54
96,-376,-632,-256,504,-60,-445,-69,-7,103,215,252,240,-13,-105,54
97,-388,-622,-234,505,-76,-429,-49,19,125,232,261,252,-14,-111,59
98,-425,-644,-218,535,-103,-432,-45,31,136,236,257,248,-15,-109,61
99,-384,-646,-262,515,-61,-454,-57,30,132,227,241,233,-13,-110,61
100,-334,-641,-306,488,-14,-474,-63,33,138,222,233,221,-13,-122,67
101,-323,-640,-317,481,-3,-479,-50,48,156,234,238,227,-15,-131,71
102,-336,-660,-324,498,-5,-493,-46,65,171,244,232,224,-13,-127,77
103,-324,-675,-351,500,14,-513,-50,71,178,242,223,213,-13,-134,82
104,-314,-685,-371,499,29,-529,-50,81,187,242,217,210,-10,-154,82
105,-332,-725,-393,528,31,-560,-59,78,185,231,203,190,-11,-185,80
106,-302,-720,-419,511,59,-570,-53,89,200,241,201,189,-13,-199,80
107,-292,-715,-422,504,65,-569,-42,108,221,251,203,196,-9,-205,81
108,-305,-731,-425,518,60,-578,-38,119,233,258,202,193,-9,-218,84
109,-292,-731,-439,512,74,-585,-34,138,245,260,201,196,-7,-215,91
110,-282,-734,-452,508,86,-594,-34,152,259,259,200,194,-5,-210,92
111,-284,-724,-440,504,79,-583,-30,165,279,269,201,190,-6,-211,94
112,-290,-737,-448,514,79,-593,-33,171,288,267,195,181,-6,-222,92
113,-321,-762,-441,541,60,-602,-27,184,304,278,197,180,-2,-246,95
114,-312,-764,-452,538,71,-608,-29,192,310,273,187,175,-1,-257,101
115,-277,-772,-496,524,110,-634,-46,189,305,258,165,156,-3,-253,104
116,-272,-748,-476,510,102,-612,-29,214,333,277,178,169,5,-259,108
117,-274,-733,-458,504,93,-596,-9,240,361,294,189,179,7,-267,111
118,-308,-769,-461,538,77,-615,-8,247,367,291,177,170,2,-272,108
119,-270,-777,-507,524,119,-642,-21,246,364,278,157,148,0,-270,113
120,-235,-789,-553,512,159,-671,-37,243,363,269,139,124,-1,-270,118
121,-249,-802,-553,526,152,-678,-29,261,381,279,145,126,-2,-291,114
122,-250,-800,-550,525,150,-675,-18,283,402,289,148,133,0,-297,123
123,-277,-810,-533,544,128,-672,-4,304,420,299,149,138,3,-299,121
124,-240,-827,-587,534,174,-708,-18,299,419,291,135,117,2,-316,120
125,-183,-837,-654,510,236,-746,-31,297,420,282,117,97,1,-327,125
126,-177,-829,-653,503,238,-741,-19,325,442,297,126,106,4,-341,126
127,-179,-838,-658,508,240,-749,-19,337,455,303,121,101,4,-363,126
128,-186,-857,-671,522,243,-765,-10,346,469,306,120,89,-4,-376,123
129,-155,-857,-702,506,274,-780,-8,358,475,305,112,91,0,-377,129
130,-156,-868,-712,512,279,-790,-9,368,483,307,102,90,0,-383,130
131,-180,-882,-702,531,262,-793,-7,376,491,307,99,83,-4,-395,131
132,-194,-896,-702,545,254,-800,-7,384,503,309,93,78,-1,-403,129
133,-197,-899,-702,548,253,-801,3,398,523,320,97,80,1,-401,130
134,-188,-887,-699,537,256,-793,12,414,537,327,101,85,5,-396,137
135,-204,-891,-687,547,242,-790,17,430,554,337,107,87,7,-402,143
136,-184,-895,-711,540,264,-803,15,437,556,333,101,79,11,-402,148
137,-184,-899,-716,542,266,-808,15,443,564,335,102,72,9,-407,143
138,-163,-893,-730,528,284,-812,18,456,580,344,104,72,6,-410,138
139,-151,-885,-734,518,292,-810,27,474,596,353,108,73,7,-401,138
140,-158,-889,-732,523,287,-811,33,483,610,358,107,72,7,-413,140
141,-134,-901,-767,517,317,-834,34,491,615,352,95,65,9,-431,138
142,-144,-916,-772,530,315,-845,37,500,621,353,94,58,9,-434,136
143,-117,-903,-785,510,335,-845,40,513,632,356,91,57,14,-428,138
144,-105,-895,-790,500,343,-842,48,527,649,362,88,57,13,-425,138
145,-101,-903,-802,502,351,-853,49,532,654,363,83,44,12,-428,137
146,-97,-916,-820,506,362,-869,49,540,659,360,76,41,14,-442,139
147,-94,-913,-819,503,363,-866,49,552,672,367,77,39,14,-455,134
148,-76,-905,-829,491,377,-868,53,565,684,375,78,41,20,-463,137
149,-67,-906,-840,487,387,-874,57,576,697,380,74,42,21,-469,139
150,-28,-881,-853,454,413,-867,70,597,715,391,78,43,19,-463,135
151,-39,-880,-841,459,402,-861,78,604,724,392,77,42,21,-450,135
152,-57,-883,-825,470,385,-855,82,615,738,400,77,45,21,-451,133
153,-74,-893,-819,483,373,-856,90,635,755,410,76,49,23,-466,134
154,-51,-875,-825,463,387,-851,90,638,759,406,68,40,21,-467,132
155,-23,-846,-823,434,400,-835,101,656,777,417,76,44,20,-465,132
156,-33,-843,-811,438,389,-828,110,670,792,424,75,43,19,-462,130
157,-43,-877,-834,460,396,-856,96,658,783,407,51,25,21,-461,132
158,-110,-953,-843,532,367,-898,70,639,764,382,22,-2,23,-457,130
159,-129,-960,-832,544,352,-897,69,644,772,382,20,-7,21,-455,127
160,-80,-922,-842,501,381,-882,94,671,801,404,39,7,19,-467,128
161,-14,-877,-863,446,425,-871,114,692,821,417,51,11,16,-463,123
162,-68,-922,-854,495,394,-889,106,690,817,410,40,-3,19,-479,124
163,-103,-963,-860,533,379,-912,95,684,812,399,20,-6,25,-482,125
164,-60,-933,-873,496,407,-903,110,700,832,413,31,-4,21,-462,122
165,-74,-934,-860,504,393,-897,123,715,847,426,44,-5,20,-477,117
166,-73,-929,-856,501,392,-893,132,731,859,435,51,4,16,-481,114
167,-40,-918,-878,479,419,-898,131,735,861,433,44,4,20,-490,113
168,2,-922,-924,460,464,-924,118,723,850,418,25,-10,28,-502,117
169,23,-932,-954,454,489,-944,114,716,844,413,22,-20,25,-493,114
170,11,-919,-930,454,471,-925,130,735,858,422,32,-8,25,-488,106
171,-33,-913,-880,473,424,-897,148,757,879,438,45,4,26,-487,106
172,-47,-918,-871,483,413,-895,155,757,882,439,49,5,24,-493,100
173,-26,-909,-883,468,429,-897,163,769,891,449,53,8,21,-494,96
174,6,-890,-895,442,451,-893,169,776,900,459,53,8,22,-496,94
175,-26,-910,-885,468,430,-898,165,769,893,450,53,8,23,-494,96
176,-44,-915,-871,480,414,-894,163,770,891,447,56,8,21,-488,94
177,-42,-894,-852,468,405,-873,172,779,902,455,60,11,22,-472,87
178,-65,-910,-846,487,391,-878,174,779,905,456,60,8,23,-466,81
179,-68,-902,-834,485,383,-869,188,787,913,461,68,12,20,-469,80
180,-79,-899,-820,489,371,-860,197,793,916,465,72,23,24,-461,83
181,-37,-902,-865,470,415,-884,189,778,901,455,60,15,28,-464,79
182,-22,-900,-879,461,429,-890,194,773,895,448,57,10,24,-462,72
183,-22,-895,-873,459,426,-885,197,779,903,451,62,18,28,-462,69
184,0,-869,-869,434,435,-869,204,788,913,460,72,33,28,-462,67
185,-5,-879,-873,442,435,-877,204,783,907,456,71,36,29,-475,64
186,-25,-903,-878,464,427,-891,207,777,898,450,66,32,33,-473,64
187,-35,-899,-864,467,415,-882,215,789,906,457,71,37,29,-452,61
188,-36,-893,-857,464,411,-875,220,794,909,463,80,40,28,-456,60
189,-40,-885,-846,462,404,-866,230,793,912,472,93,47,27,-451,56
190,-45,-871,-826,458,391,-849,232,800,919,476,96,55,31,-445,52
191,-55,-865,-810,460,378,-838,230,798,914,475,97,53,30,-441,53
192,-44,-866,-821,455,389,-844,229,789,908,473,96,51,29,-440,42
193,-62,-875,-812,469,375,-844,233,788,904,473,100,54,33,-438,40
194,-82,-863,-781,473,350,-823,241,789,905,480,112,62,28,-416,35
195,-92,-852,-760,472,334,-806,250,790,905,480,116,66,21,-408,33
196,-92,-860,-768,476,339,-814,250,783,897,475,112,63,24,-421,30
197,-83,-846,-762,464,340,-805,256,786,899,478,117,67,25,-408,23
198,-77,-828,-750,452,337,-789,260,787,897,480,125,74,26,-398,22
199,-53,-830,-777,441,362,-804,251,772,881,469,114,63,24,-401,18
200,-69,-842,-773,455,353,-808,251,764,875,462,113,62,24,-393,19
201,-74,-845,-771,459,349,-808,258,770,876,468,121,68,22,-396,12
202,-71,-842,-770,456,350,-806,264,768,872,469,122,71,17,-388,10
203,-79,-843,-763,461,343,-803,266,764,867,468,125,76,19,-376,9
204,-91,-844,-753,467,332,-799,271,766,864,471,131,77,17,-364,1
205,-98,-840,-741,469,322,-791,278,765,861,470,139,88,20,-345,2
206,-80,-835,-755,458,338,-795,277,754,854,467,141,87,19,-360,-2
207,-53,-815,-763,434,355,-789,284,751,851,469,145,89,20,-372,-10
208,-58,-792,-734,425,339,-763,299,756,857,480,161,103,16,-360,-12
209,-57,-777,-720,417,332,-749,301,752,854,483,167,109,12,-344,-13
210,-66,-782,-716,424,325,-749,294,737,838,473,159,103,15,-339,-18
211,-127,-812,-685,469,280,-749,294,722,824,464,157,92,8,-334,-23
212,-109,-800,-690,454,291,-746,297,719,819,464,159,97,11,-338,-26
213,-109,-791,-682,450,287,-737,303,716,820,467,161,110,13,-349,-29
214,-121,-761,-640,441,260,-701,323,726,830,480,179,130,8,-341,-28
215,-95,-720,-625,407,266,-673,334,728,833,489,197,139,2,-327,-31
216,-129,-754,-626,441,249,-691,324,707,808,472,185,125,-1,-315,-33
217,-161,-781,-619,471,230,-701,316,689,788,453,173,115,5,-309,-33
218,-159,-773,-614,466,228,-694,316,679,781,449,174,116,7,-301,-40
219,-151,-752,-601,452,225,-677,329,678,783,459,186,127,-2,-292,-45
220,-165,-750,-584,457,210,-668,335,675,781,462,193,131,-9,-283,-49
221,-152,-750,-599,451,224,-675,334,667,771,461,194,132,-10,-281,-54
222,-149,-753,-604,451,228,-679,334,660,759,451,190,130,-14,-282,-56
223,-155,-757,-602,456,224,-680,331,652,747,443,186,127,-17,-287,-58
224,-148,-747,-600,448,226,-674,335,649,743,445,190,136,-14,-284,-57
225,-159,-754,-595,457,218,-675,337,646,737,441,187,141,-16,-281,-60
226,-168,-758,-590,463,212,-674,334,635,730,442,187,145,-15,-279,-65
227,-166,-752,-587,459,211,-670,335,625,717,439,188,148,-17,-268,-68
228,-166,-749,-582,458,209,-666,343,620,713,439,195,150,-22,-270,-70
229,-189,-749,-560,469,186,-655,355,623,719,447,208,159,-22,-258,-73
230,-160,-736,-576,448,208,-657,349,612,703,440,205,148,-28,-245,-76
231,-158,-725,-567,442,205,-646,342,593,688,435,203,144,-28,-235,-81
232,-184,-724,-540,454,179,-633,351,592,684,434,210,161,-24,-230,-85
233,-190,-724,-534,457,173,-630,352,585,679,430,214,167,-27,-224,-83
234,-172,-691,-519,431,174,-606,360,586,678,434,225,173,-30,-218,-87
235,-150,-669,-518,410,184,-594,361,581,672,432,227,176,-27,-211,-86
236,-195,-697,-502,446,153,-600,357,567,655,425,220,171,-28,-205,-84
237,-197,-685,-488,441,146,-587,363,559,649,427,227,179,-31,-208,-88
238,-180,-664,-484,422,152,-575,363,556,646,427,229,184,-32,-191,-91
239,-201,-674,-473,437,137,-574,364,550,638,421,229,185,-36,-180,-92
240,-213,-688,-475,451,131,-582,362,535,629,417,230,184,-35,-181,-91
241,-219,-695,-476,457,129,-586,364,530,623,418,230,187,-36,-181,-94
242,-232,-705,-473,468,121,-590,361,518,610,408,223,184,-37,-178,-93
243,-221,-695,-474,458,127,-585,361,512,604,407,224,186,-36,-169,-93
244,-203,-682,-479,442,139,-581,364,510,603,409,234,197,-37,-168,-91
245,-198,-687,-489,443,145,-588,359,501,591,399,233,187,-40,-161,-94
246,-223,-681,-458,452,118,-570,374,509,597,410,245,201,-41,-157,-93
247,-217,-673,-457,445,121,-566,374,499,590,409,250,214,-38,-162,-92
248,-172,-643,-471,407,150,-557,372,494,581,408,254,214,-42,-171,-92
249,-167,-635,-468,401,150,-552,380,501,585,411,260,221,-46,-174,-93
250,-204,-653,-448,428,123,-551,379,493,577,412,262,222,-45,-158,-100
251,-264,-681,-417,472,77,-549,367,475,560,403,261,209,-50,-153,-98
252,-240,-695,-456,468,108,-576,355,456,541,387,251,190,-55,-153,-106
253,-211,-669,-459,440,124,-565,364,460,545,393,257,215,-47,-156,-107
254,-223,-654,-431,438,104,-543,365,459,545,397,264,232,-37,-158,-100
255,-241,-660,-419,450,90,-540,362,451,538,394,264,228,-39,-148,-102
256,-293,-675,-382,484,45,-529,365,448,534,394,269,233,-42,-147,-100
257,-321,-683,-362,502,22,-523,365,441,530,397,277,238,-44,-142,-100
258,-274,-675,-400,475,63,-538,354,425,520,387,272,230,-42,-129,-107
259,-263,-660,-397,462,67,-529,350,418,512,384,270,225,-44,-135,-107
260,-285,-663,-377,474,46,-520,357,418,511,386,275,226,-52,-142,-107
261,-288,-673,-385,481,49,-529,355,413,507,381,277,231,-53,-145,-109
262,-300,-675,-375,487,38,-525,360,412,504,384,279,247,-44,-158,-108
263,-279,-674,-395,476,59,-535,353,402,493,376,274,244,-42,-156,-110
264,-260,-669,-409,465,75,-540,347,391,484,369,272,239,-45,-150,-109
265,-252,-665,-412,459,80,-539,350,391,482,371,277,240,-46,-160,-108
266,-261,-661,-400,461,70,-531,357,390,484,378,289,248,-48,-146,-108
267,-241,-655,-415,448,87,-535,352,375,469,368,284,240,-53,-139,-112
268,-235,-660,-425,448,95,-543,348,375,467,364,281,227,-65,-149,-109
269,-239,-648,-408,443,85,-529,355,383,479,377,289,239,-63,-145,-107
270,-248,-654,-405,451,79,-530,349,370,465,368,283,235,-63,-140,-113
271,-307,-676,-370,492,32,-523,346,359,457,360,277,240,-61,-120,-109
272,-322,-671,-349,496,14,-510,346,356,458,365,281,246,-58,-110,-110
273,-306,-670,-364,488,30,-518,347,358,454,361,283,243,-61,-115,-112
274,-293,-667,-374,480,41,-521,340,354,447,353,280,248,-58,-112,-109
275,-298,-658,-361,478,32,-510,333,350,450,358,286,249,-59,-106,-111
276,-320,-659,-339,489,11,-500,342,348,446,359,288,250,-58,-114,-109
277,-342,-665,-324,503,-9,-495,350,350,442,358,289,254,-63,-137,-108
278,-329,-657,-328,493,-1,-493,348,352,443,359,290,254,-67,-126,-113
279,-334,-649,-315,491,-9,-482,348,352,441,359,289,258,-62,-120,-111
280,-314,-661,-347,487,17,-504,341,342,432,353,281,252,-61,-122,-109
281,-269,-667,-398,468,65,-533,328,328,419,343,272,245,-56,-120,-115
282,-282,-665,-383,473,51,-524,327,333,423,345,277,249,-57,-127,-114
283,-287,-667,-380,477,47,-524,325,332,420,344,280,247,-59,-120,-112
284,-303,-676,-373,489,36,-525,325,327,419,344,285,248,-61,-117,-109
285,-314,-677,-363,496,25,-521,329,335,425,349,289,254,-60,-125,-105
286,-320,-684,-364,502,23,-524,335,339,427,355,293,261,-55,-129,-103
287,-279,-675,-396,477,59,-536,327,330,421,354,285,254,-55,-129,-107
288,-252,-659,-407,455,78,-533,329,330,419,350,292,258,-53,-149,-106
289,-294,-670,-376,482,41,-523,333,329,421,355,301,263,-52,-146,-106
290,-293,-673,-380,483,44,-527,320,322,415,350,292,253,-59,-136,-114
291,-304,-665,-361,485,29,-514,318,322,414,348,294,258,-58,-127,-109
292,-325,-669,-344,497,10,-507,321,324,418,355,298,265,-57,-114,-108
293,-341,-677,-336,509,-2,-507,325,330,418,357,302,264,-61,-126,-111
294,-343,-668,-325,505,-9,-497,321,330,419,356,303,261,-60,-133,-113
295,-329,-655,-326,492,-1,-491,310,324,419,354,301,262,-59,-128,-114
296,-367,-657,-290,512,-38,-474,319,328,414,356,310,266,-61,-125,-110
297,-376,-661,-285,519,-45,-474,323,325,409,355,307,261,-65,-125,-110
298,-343,-658,-315,500,-13,-487,309,314,401,343,294,250,-63,-91,-110
299,-352,-653,-302,503,-24,-478,307,312,399,341,295,254,-59,-79,-106
300,-344,-659,-315,502,-14,-488,301,310,399,343,294,257,-60,-98,-105
301,-335,-666,-331,500,-2,-499,303,312,400,344,296,260,-59,-109,-105
302,-345,-666,-322,505,-11,-494,310,312,399,345,299,265,-60,-111,-104
303,-341,-664,-324,502,-8,-494,310,312,398,346,297,263,-64,-102,-106
304,-333,-672,-339,503,4,-506,301,306,393,341,292,260,-60,-100,-106
305,-320,-672,-352,496,17,-513,298,306,393,343,292,260,-59,-109,-110
306,-322,-660,-339,491,9,-499,308,312,403,354,302,268,-59,-110,-110
307,-336,-673,-337,505,1,-506,305,308,397,351,302,269,-54,-97,-109
308,-382,-692,-310,537,-36,-501,312,318,407,361,309,273,-55,-105,-108
309,-369,-683,-313,526,-28,-499,315,313,404,359,308,276,-55,-100,-106
310,-323,-662,-338,493,8,-500,311,310,394,353,304,271,-53,-96,-106
311,-354,-655,-301,504,-26,-479,313,320,413,365,315,281,-51,-102,-104
312,-399,-680,-281,540,-59,-481,310,314,413,362,315,282,-49,-92,-107
313,-393,-689,-296,541,-48,-493,303,311,404,356,310,277,-49,-89,-108
314,-373,-675,-302,524,-35,-489,299,311,402,353,308,280,-48,-96,-109
315,-375,-674,-299,525,-38,-487,292,304,396,348,303,274,-51,-96,-111
316,-368,-666,-298,517,-35,-482,282,296,389,343,299,269,-50,-77,-113
317,-362,-662,-299,512,-31,-481,280,296,389,344,302,268,-53,-78,-111
318,-369,-657,-288,513,-40,-473,282,299,392,347,304,275,-49,-84,-114
319,-406,-654,-248,530,-78,-452,297,306,403,356,310,287,-47,-79,-117
320,-387,-646,-259,516,-63,-453,296,309,406,359,313,288,-53,-75,-112
321,-345,-636,-292,491,-26,-464,287,304,400,352,304,287,-51,-77,-113
322,-379,-652,-273,515,-52,-463,287,305,400,351,302,289,-48,-79,-113
323,-381,-667,-286,524,-47,-477,272,290,389,342,299,278,-49,-85,-113
324,-339,-660,-321,499,-8,-491,271,284,384,337,296,275,-45,-96,-113
325,-328,-655,-327,492,0,-492,276,292,388,342,301,282,-43,-90,-112
326,-336,-668,-332,502,-2,-500,270,291,386,344,303,277,-43,-81,-117
327,-338,-668,-330,503,-3,-500,282,294,390,348,306,278,-43,-88,-120
328,-357,-670,-313,513,-21,-492,281,291,392,353,306,278,-48,-97,-114
329,-344,-663,-319,504,-12,-491,279,294,399,357,306,280,-48,-94,-112
330,-348,-650,-303,499,-22,-477,285,299,400,358,305,283,-42,-87,-114
331,-400,-664,-264,532,-67,-464,280,296,398,357,303,282,-43,-64,-113
332,-408,-674,-266,541,-71,-470,278,289,392,356,299,281,-46,-59,-115
333,-366,-635,-269,500,-48,-452,286,295,396,361,308,296,-43,-61,-115
334,-330,-602,-272,466,-29,-438,283,296,405,366,319,301,-39,-54,-112
335,-363,-637,-273,500,-45,-456,264,276,384,351,307,283,-42,-50,-117
336,-342,-605,-262,474,-39,-434,273,288,393,357,315,292,-43,-46,-123
337,-340,-589,-250,465,-45,-420,278,294,403,370,325,301,-43,-56,-119
338,-399,-640,-241,520,-78,-441,266,278,387,351,310,288,-41,-62,-119
339,-387,-614,-227,501,-80,-421,273,289,394,357,322,296,-39,-60,-120
340,-373,-612,-239,493,-67,-426,269,286,390,357,319,300,-38,-64,-119
341,-365,-626,-261,496,-52,-444,265,279,379,344,304,291,-41,-61,-119
342,-356,-613,-256,485,-49,-435,266,282,383,349,313,295,-41,-63,-118
343,-348,-610,-262,479,-42,-437,259,278,381,347,313,297,-34,-62,-119
344,-346,-611,-265,478,-40,-438,256,274,380,348,315,298,-34,-53,-123
345,-353,-611,-258,482,-47,-435,263,279,388,357,326,306,-35,-63,-126
346,-352,-608,-257,480,-47,-433,263,277,392,362,332,307,-37,-58,-126
347,-351,-621,-271,486,-39,-447,256,266,383,356,327,293,-40,-60,-129
348,-358,-623,-265,490,-46,-444,256,267,381,356,329,292,-42,-61,-126
349,-349,-603,-255,476,-47,-429,258,270,389,363,335,312,-35,-40,-124
350,-357,-608,-251,482,-52,-430,251,267,385,360,333,317,-29,-34,-126
351,-376,-613,-237,494,-69,-425,247,257,381,355,331,310,-31,-40,-127
352,-372,-601,-229,487,-71,-416,239,259,385,361,340,314,-28,-45,-131
353,-387,-606,-219,496,-84,-413,242,261,382,362,340,313,-37,-31,-130
