'sample #','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
39,-3154,-5809,-2655,4481,-249,-4231,-411,940,663,-280,-656,-1795,-812,-1891,-14
40,-3146,-5803,-2657,4474,-244,-4229,-409,939,666,-282,-662,-1796,-813,-1894,-11
41,-3154,-5812,-2657,4483,-248,-4234,-411,941,665,-282,-664,-1802,-818,-1898,-8
42,-3159,-5817,-2659,4488,-249,-4237,-407,940,664,-280,-663,-1805,-822,-1902,-9
43,-3152,-5815,-2663,4483,-243,-4239,-409,942,665,-279,-661,-1802,-821,-1902,-11
44,-3156,-5819,-2663,4488,-246,-4240,-417,941,664,-281,-659,-1803,-819,-1906,-12
45,-3161,-5823,-2662,4492,-249,-4242,-420,937,662,-284,-660,-1809,-819,-1900,-12
46,-3160,-5823,-2664,4491,-247,-4243,-416,939,663,-281,-660,-1811,-822,-1902,-13
47,-3159,-5822,-2663,4490,-247,-4242,-412,938,662,-284,-660,-1810,-823,-1908,-12
48,-3169,-5832,-2663,4500,-252,-4247,-415,936,659,-288,-664,-1815,-827,-1905,-14
49,-3181,-5834,-2652,4508,-264,-4242,-412,935,657,-293,-668,-1821,-832,-1905,-14
50,-3168,-5825,-2657,4497,-255,-4241,-419,935,657,-292,-667,-1818,-829,-1906,-12
51,-3161,-5828,-2666,4495,-247,-4247,-426,931,655,-293,-664,-1813,-822,-1902,-10
52,-3169,-5834,-2665,4501,-251,-4249,-424,932,654,-294,-666,-1817,-823,-1911,-11
53,-3164,-5831,-2667,4498,-248,-4249,-422,941,663,-287,-659,-1811,-824,-1917,-9
54,-3160,-5829,-2669,4495,-245,-4249,-424,940,666,-284,-654,-1806,-819,-1909,-4
55,-3164,-5834,-2670,4499,-246,-4252,-433,936,662,-286,-653,-1803,-815,-1901,-5
56,-3166,-5836,-2670,4501,-247,-4252,-432,935,660,-288,-656,-1804,-818,-1902,-6
57,-3157,-5829,-2672,4493,-242,-4250,-431,935,661,-292,-664,-1811,-823,-1917,-4
58,-3154,-5827,-2674,4491,-240,-4250,-431,937,659,-293,-666,-1811,-822,-1921,-3
59,-3157,-5834,-2676,4496,-240,-4255,-427,940,659,-290,-664,-1806,-821,-1917,-4
60,-3155,-5834,-2678,4495,-238,-4256,-427,939,660,-288,-662,-1804,-821,-1914,-6
61,-3153,-5833,-2679,4493,-236,-4256,-429,942,663,-285,-660,-1802,-820,-1909,-8
62,-3151,-5830,-2679,4491,-236,-4254,-432,939,661,-285,-659,-1806,-821,-1911,-7
63,-3155,-5826,-2671,4490,-241,-4248,-431,937,661,-287,-661,-1809,-823,-1914,-6
64,-3163,-5827,-2665,4495,-249,-4245,-430,940,663,-285,-657,-1803,-820,-1915,-3
65,-3178,-5835,-2658,4507,-259,-4246,-428,942,667,-278,-654,-1798,-817,-1922,-2
66,-3181,-5840,-2659,4511,-261,-4249,-425,948,672,-275,-653,-1798,-819,-1918,-4
67,-3176,-5839,-2664,4507,-256,-4251,-427,947,669,-274,-649,-1797,-816,-1910,-2
68,-3176,-5842,-2666,4509,-255,-4254,-427,948,667,-272,-647,-1796,-813,-1919,-1
69,-3169,-5844,-2675,4507,-246,-4259,-429,947,663,-275,-645,-1795,-817,-1920,-3
70,-3160,-5844,-2684,4502,-237,-4264,-429,945,670,-271,-642,-1792,-815,-1914,-1
71,-3157,-5848,-2690,4503,-233,-4269,-423,950,676,-265,-637,-1787,-813,-1920,-4
72,-3168,-5856,-2687,4512,-240,-4271,-418,955,673,-266,-635,-1789,-816,-1932,-5
73,-3177,-5858,-2680,4518,-248,-4268,-409,960,676,-266,-633,-1788,-818,-1934,-4
74,-3183,-5859,-2675,4521,-253,-4267,-410,954,678,-266,-630,-1791,-820,-1928,-7
75,-3190,-5864,-2674,4527,-257,-4269,-413,955,681,-262,-631,-1794,-823,-1924,-11
76,-3188,-5861,-2673,4525,-257,-4267,-403,962,684,-259,-633,-1790,-829,-1912,-13
77,-3187,-5861,-2674,4524,-256,-4267,-407,961,684,-263,-631,-1793,-831,-1912,-11
78,-3184,-5866,-2681,4525,-251,-4273,-417,955,681,-268,-633,-1797,-831,-1927,-6
79,-3181,-5862,-2681,4521,-249,-4271,-416,953,678,-266,-636,-1794,-827,-1932,-3
80,-3177,-5855,-2678,4516,-249,-4266,-414,959,683,-260,-625,-1784,-822,-1927,-5
81,-3182,-5859,-2677,4521,-252,-4267,-413,957,682,-261,-628,-1787,-824,-1927,-5
82,-3182,-5861,-2679,4522,-251,-4269,-412,957,678,-262,-638,-1794,-827,-1929,-4
83,-3178,-5857,-2679,4518,-249,-4268,-412,958,679,-260,-638,-1791,-828,-1919,-4
84,-3180,-5858,-2678,4519,-251,-4268,-406,958,680,-261,-635,-1791,-829,-1916,-4
85,-3178,-5858,-2680,4518,-249,-4268,-405,958,680,-260,-633,-1788,-830,-1923,-4
86,-3184,-5863,-2680,4523,-251,-4271,-408,954,678,-261,-635,-1789,-826,-1925,-2
87,-3184,-5865,-2680,4524,-251,-4272,-409,953,678,-263,-638,-1788,-823,-1929,-2
88,-3182,-5865,-2683,4523,-249,-4274,-418,951,676,-265,-639,-1787,-820,-1929,0
89,-3185,-5868,-2683,4527,-250,-4276,-416,954,677,-267,-638,-1787,-818,-1922,-1
90,-3184,-5867,-2682,4525,-251,-4274,-413,956,678,-267,-639,-1787,-822,-1918,-5
91,-3181,-5866,-2685,4523,-248,-4275,-419,954,676,-269,-642,-1792,-825,-1926,-7
92,-3175,-5863,-2688,4519,-243,-4275,-417,955,678,-267,-640,-1791,-827,-1928,-12
93,-3173,-5862,-2689,4517,-242,-4275,-413,957,681,-264,-638,-1789,-830,-1925,-14
94,-3173,-5864,-2691,4519,-241,-4277,-410,961,680,-262,-635,-1786,-828,-1931,-15
95,-3174,-5866,-2691,4520,-241,-4278,-411,958,677,-265,-636,-1785,-824,-1925,-14
96,-3174,-5858,-2684,4516,-245,-4271,-410,958,679,-265,-632,-1779,-821,-1912,-12
97,-3176,-5857,-2680,4516,-247,-4268,-414,962,683,-260,-627,-1777,-822,-1911,-16
98,-3182,-5868,-2686,4525,-248,-4276,-409,966,687,-255,-626,-1778,-825,-1910,-19
99,-3177,-5864,-2687,4520,-245,-4275,-393,980,698,-248,-621,-1770,-831,-1905,-22
100,-3161,-5852,-2690,4506,-235,-4270,-391,986,705,-242,-613,-1765,-832,-1897,-23
101,-3155,-5850,-2695,4502,-230,-4272,-394,986,709,-233,-606,-1758,-827,-1891,-25
102,-3159,-5850,-2690,4505,-234,-4269,-389,992,717,-227,-599,-1754,-830,-1891,-28
103,-3160,-5844,-2684,4502,-238,-4263,-383,998,721,-223,-591,-1749,-830,-1887,-27
104,-3167,-5832,-2664,4499,-251,-4248,-372,1004,727,-217,-586,-1741,-829,-1879,-24
105,-3179,-5820,-2642,4500,-268,-4231,-362,1011,733,-211,-580,-1734,-834,-1858,-26
106,-3175,-5816,-2641,4496,-267,-4228,-358,1018,739,-202,-573,-1728,-836,-1843,-31
107,-3178,-5811,-2634,4494,-271,-4222,-350,1023,744,-197,-573,-1727,-838,-1836,-33
108,-3181,-5811,-2630,4496,-275,-4220,-350,1024,744,-198,-576,-1735,-843,-1835,-35
109,-3177,-5810,-2633,4494,-272,-4221,-348,1024,743,-196,-580,-1739,-848,-1843,-38
110,-3171,-5797,-2626,4484,-272,-4211,-342,1028,751,-192,-579,-1736,-851,-1830,-35
111,-3166,-5791,-2624,4478,-271,-4207,-347,1035,755,-188,-578,-1737,-852,-1819,-31
112,-3172,-5789,-2618,4480,-276,-4203,-345,1034,753,-187,-577,-1738,-855,-1814,-33
113,-3161,-5777,-2616,4469,-272,-4196,-343,1038,757,-181,-570,-1731,-854,-1799,-35
114,-3146,-5764,-2618,4455,-264,-4190,-340,1042,762,-171,-561,-1719,-846,-1789,-31
115,-3149,-5760,-2612,4454,-268,-4185,-334,1043,764,-169,-563,-1720,-849,-1793,-28
116,-3148,-5757,-2609,4452,-269,-4183,-338,1042,763,-172,-570,-1724,-852,-1792,-26
117,-3153,-5759,-2606,4455,-273,-4182,-338,1039,758,-176,-575,-1726,-852,-1798,-25
118,-3156,-5761,-2605,4458,-275,-4182,-342,1039,758,-179,-578,-1732,-860,-1803,-28
119,-3149,-5751,-2602,4450,-273,-4176,-336,1043,762,-177,-577,-1730,-864,-1792,-33
120,-3141,-5746,-2605,4443,-268,-4175,-313,1053,769,-174,-576,-1728,-866,-1798,-35
121,-3133,-5746,-2612,4440,-260,-4179,-299,1058,773,-175,-577,-1729,-874,-1802,-38
122,-3127,-5741,-2615,4434,-256,-4178,-310,1057,773,-176,-577,-1728,-874,-1795,-41
123,-3134,-5743,-2610,4438,-262,-4176,-316,1058,772,-174,-579,-1731,-876,-1790,-42
124,-3141,-5743,-2602,4442,-269,-4173,-312,1053,772,-176,-580,-1733,-880,-1796,-42
125,-3139,-5736,-2597,4437,-270,-4167,-312,1056,774,-173,-577,-1731,-880,-1797,-44
126,-3134,-5726,-2592,4430,-271,-4159,-305,1063,780,-169,-572,-1725,-881,-1785,-48
127,-3123,-5707,-2584,4415,-269,-4146,-301,1073,792,-156,-558,-1710,-880,-1772,-48
128,-3117,-5689,-2572,4403,-272,-4131,-288,1088,809,-140,-544,-1700,-889,-1752,-56
129,-3107,-5674,-2567,4390,-269,-4121,-273,1100,820,-133,-535,-1694,-897,-1735,-63
130,-3098,-5651,-2552,4375,-273,-4102,-264,1112,832,-118,-523,-1682,-902,-1712,-63
131,-3095,-5632,-2536,4363,-279,-4084,-258,1123,849,-101,-509,-1667,-904,-1693,-64
132,-3080,-5605,-2524,4342,-277,-4065,-257,1133,862,-84,-489,-1650,-900,-1666,-63
133,-3068,-5575,-2506,4321,-280,-4041,-263,1132,865,-74,-476,-1634,-890,-1637,-58
134,-3062,-5554,-2491,4308,-285,-4023,-277,1130,868,-71,-465,-1620,-878,-1617,-49
135,-3049,-5533,-2483,4291,-283,-4008,-289,1126,872,-65,-449,-1611,-872,-1606,-40
136,-3033,-5514,-2480,4274,-276,-3997,-301,1123,875,-54,-432,-1594,-855,-1601,-29
137,-3025,-5507,-2481,4266,-271,-3994,-309,1127,876,-51,-428,-1587,-844,-1595,-23
138,-3023,-5511,-2487,4268,-268,-3999,-322,1118,870,-55,-432,-1586,-837,-1611,-18
139,-3022,-5513,-2490,4268,-265,-4001,-342,1104,862,-56,-429,-1577,-820,-1613,-9
140,-3028,-5521,-2493,4275,-267,-4007,-351,1092,853,-62,-435,-1579,-810,-1621,-5
141,-3040,-5528,-2487,4284,-276,-4007,-362,1078,845,-67,-441,-1584,-806,-1626,0
142,-3040,-5522,-2481,4281,-279,-4002,-381,1065,835,-74,-441,-1584,-797,-1618,5
143,-3037,-5521,-2483,4279,-277,-4002,-413,1042,819,-84,-445,-1585,-780,-1619,15
144,-3040,-5523,-2483,4282,-278,-4004,-439,1021,807,-95,-451,-1587,-766,-1615,22
145,-3043,-5524,-2480,4284,-281,-4002,-436,1021,805,-95,-452,-1585,-763,-1635,20
146,-3053,-5520,-2466,4286,-293,-3993,-424,1030,810,-92,-447,-1585,-768,-1621,14
147,-3060,-5516,-2455,4287,-302,-3985,-416,1031,809,-95,-452,-1594,-778,-1597,12
148,-3063,-5513,-2449,4287,-306,-3981,-413,1027,805,-97,-458,-1597,-781,-1596,12
149,-3062,-5505,-2442,4283,-310,-3973,-420,1022,801,-103,-461,-1598,-778,-1589,10
150,-3061,-5502,-2440,4282,-310,-3971,-425,1021,798,-105,-461,-1599,-775,-1594,14
151,-3061,-5505,-2444,4284,-308,-3974,-417,1029,802,-100,-456,-1593,-776,-1594,13
152,-3061,-5516,-2454,4288,-303,-3985,-418,1028,802,-100,-456,-1594,-775,-1591,10
153,-3061,-5524,-2462,4292,-299,-3993,-416,1027,802,-100,-457,-1595,-770,-1595,16
154,-3054,-5524,-2469,4289,-292,-3997,-422,1025,801,-101,-458,-1591,-763,-1607,23
155,-3055,-5525,-2469,4290,-292,-3997,-432,1018,796,-104,-456,-1588,-755,-1603,28
156,-3059,-5524,-2465,4291,-296,-3995,-440,1010,789,-108,-455,-1584,-745,-1601,33
157,-3061,-5530,-2467,4295,-296,-3999,-441,1003,781,-114,-458,-1587,-740,-1608,35
158,-3077,-5535,-2457,4305,-310,-3996,-428,1009,787,-113,-453,-1583,-742,-1602,34
159,-3080,-5532,-2452,4306,-314,-3992,-427,1013,789,-107,-444,-1571,-736,-1601,37
160,-3070,-5528,-2458,4298,-306,-3993,-419,1014,792,-104,-440,-1564,-735,-1607,40
161,-3063,-5527,-2462,4295,-300,-3995,-421,1016,793,-106,-443,-1564,-734,-1609,43
162,-3064,-5531,-2466,4297,-299,-3999,-433,1013,788,-110,-444,-1561,-725,-1607,48
163,-3066,-5547,-2480,4306,-293,-4014,-437,1009,789,-112,-443,-1561,-725,-1620,45
164,-3069,-5563,-2493,4316,-287,-4028,-434,1017,794,-110,-446,-1561,-729,-1638,39
165,-3078,-5582,-2504,4329,-286,-4043,-420,1028,799,-109,-452,-1563,-734,-1648,39
166,-3075,-5603,-2528,4339,-273,-4066,-415,1028,799,-110,-459,-1568,-737,-1666,36
167,-3069,-5615,-2545,4341,-261,-4080,-414,1029,798,-110,-459,-1568,-741,-1673,33
168,-3086,-5634,-2548,4359,-269,-4091,-410,1030,799,-111,-464,-1574,-746,-1679,32
169,-3103,-5656,-2553,4380,-275,-4105,-404,1035,801,-113,-471,-1583,-752,-1699,26
170,-3111,-5675,-2564,4393,-273,-4120,-402,1034,800,-118,-476,-1591,-757,-1727,18
171,-3127,-5691,-2564,4409,-281,-4128,-401,1030,791,-124,-489,-1604,-767,-1744,15
172,-3122,-5703,-2581,4412,-270,-4142,-395,1033,792,-125,-488,-1606,-766,-1751,17
173,-3121,-5722,-2601,4421,-259,-4162,-391,1035,793,-126,-486,-1606,-764,-1772,10
174,-3130,-5730,-2599,4430,-265,-4165,-381,1043,801,-120,-483,-1610,-773,-1772,7
175,-3130,-5734,-2605,4432,-262,-4170,-386,1045,799,-120,-484,-1619,-777,-1781,6
176,-3130,-5754,-2624,4443,-253,-4189,-395,1033,786,-130,-494,-1628,-774,-1805,4
177,-3133,-5767,-2634,4450,-249,-4200,-394,1028,789,-130,-492,-1625,-764,-1816,12
178,-3143,-5782,-2638,4462,-252,-4210,-403,1025,783,-134,-499,-1633,-763,-1827,10
179,-3147,-5794,-2646,4470,-250,-4220,-412,1012,768,-148,-509,-1643,-767,-1841,11
180,-3155,-5810,-2656,4482,-249,-4232,-418,997,754,-162,-520,-1649,-759,-1859,18
181,-3161,-5831,-2669,4496,-246,-4249,-425,982,735,-179,-533,-1656,-750,-1871,24
182,-3163,-5842,-2679,4502,-241,-4260,-438,963,717,-196,-545,-1667,-744,-1887,33
183,-3167,-5853,-2686,4510,-240,-4269,-440,958,711,-203,-556,-1676,-745,-1892,34
184,-3180,-5866,-2686,4523,-247,-4276,-431,963,710,-206,-560,-1681,-748,-1895,31
185,-3194,-5882,-2689,4538,-252,-4284,-433,961,706,-212,-567,-1688,-752,-1899,29
186,-3190,-5898,-2708,4544,-240,-4303,-432,960,704,-217,-573,-1694,-757,-1908,27
187,-3193,-5912,-2718,4552,-237,-4315,-429,961,701,-219,-582,-1703,-761,-1925,24
188,-3198,-5922,-2723,4560,-237,-4322,-424,963,703,-218,-585,-1710,-771,-1938,12
189,-3196,-5931,-2734,4564,-230,-4333,-419,968,704,-219,-585,-1715,-773,-1946,8
190,-3202,-5939,-2736,4571,-232,-4338,-415,972,707,-219,-587,-1721,-778,-1951,6
191,-3203,-5942,-2738,4573,-232,-4340,-415,971,711,-218,-586,-1722,-781,-1962,3
192,-3197,-5943,-2745,4570,-225,-4344,-423,970,710,-217,-588,-1723,-780,-1967,6
193,-3203,-5950,-2746,4576,-227,-4348,-417,973,711,-218,-586,-1724,-783,-1967,2
194,-3210,-5960,-2749,4585,-229,-4355,-418,969,706,-221,-589,-1729,-783,-1974,2
195,-3205,-5959,-2753,4582,-225,-4356,-425,969,706,-222,-584,-1725,-776,-1972,4
196,-3196,-5958,-2761,4577,-216,-4359,-420,971,709,-218,-580,-1716,-771,-1968,4
197,-3210,-5977,-2766,4593,-221,-4371,-423,965,703,-229,-591,-1729,-780,-1981,2
198,-3226,-5994,-2767,4610,-229,-4381,-422,962,697,-238,-601,-1740,-789,-1993,3
199,-3225,-5993,-2767,4609,-228,-4380,-422,967,703,-229,-596,-1727,-784,-1988,7
200,-3227,-5997,-2770,4612,-228,-4383,-420,969,706,-228,-591,-1727,-782,-1991,4
201,-3223,-6003,-2779,4613,-222,-4391,-420,967,701,-231,-595,-1736,-785,-1999,3
202,-3216,-6001,-2784,4608,-215,-4392,-423,968,702,-229,-595,-1733,-781,-1992,4
203,-3215,-6004,-2788,4609,-212,-4396,-422,967,704,-231,-595,-1734,-782,-1992,3
204,-3219,-6013,-2793,4616,-212,-4403,-425,968,704,-230,-598,-1736,-782,-1998,2
205,-3220,-6020,-2799,4620,-209,-4409,-424,969,703,-232,-602,-1742,-784,-2007,1
206,-3229,-6022,-2792,4626,-218,-4407,-422,966,698,-237,-607,-1750,-789,-2005,-2
207,-3243,-6025,-2781,4634,-230,-4403,-421,966,699,-235,-610,-1749,-790,-1993,-3
208,-3236,-6025,-2788,4631,-223,-4407,-416,969,701,-234,-613,-1753,-793,-2003,-2
209,-3231,-6030,-2798,4631,-215,-4414,-422,965,699,-235,-618,-1760,-796,-2022,1
210,-3244,-6041,-2797,4642,-222,-4419,-419,966,700,-239,-623,-1764,-799,-2023,2
211,-3249,-6046,-2796,4647,-225,-4420,-410,967,695,-245,-633,-1773,-804,-2021,-1
212,-3237,-6041,-2803,4639,-216,-4422,-416,962,690,-252,-640,-1781,-805,-2018,-2
213,-3230,-6038,-2806,4634,-211,-4422,-416,961,691,-253,-640,-1784,-805,-2013,-2
214,-3239,-6044,-2804,4642,-216,-4424,-416,962,687,-254,-648,-1789,-807,-2020,-1
215,-3251,-6051,-2798,4651,-225,-4425,-421,964,687,-253,-649,-1790,-809,-2023,-5
216,-3245,-6051,-2804,4648,-219,-4428,-414,962,687,-254,-646,-1789,-808,-2024,-2
217,-3240,-6052,-2811,4646,-213,-4431,-414,959,686,-257,-644,-1785,-804,-2024,-1
218,-3253,-6067,-2813,4660,-219,-4440,-418,959,687,-258,-642,-1785,-807,-2029,-1
219,-3260,-6082,-2822,4671,-218,-4452,-413,960,687,-257,-645,-1786,-804,-2042,0
220,-3260,-6087,-2826,4673,-216,-4457,-410,963,689,-253,-643,-1778,-796,-2039,-2
221,-3278,-6102,-2823,4690,-226,-4463,-406,965,691,-253,-642,-1778,-797,-2040,-2
222,-3292,-6115,-2822,4703,-234,-4469,-404,964,691,-255,-640,-1781,-800,-2052,-6
223,-3284,-6118,-2833,4701,-225,-4475,-404,963,692,-257,-638,-1781,-799,-2057,-8
224,-3279,-6120,-2840,4700,-219,-4480,-405,965,694,-255,-634,-1778,-798,-2053,-8
225,-3286,-6128,-2841,4707,-222,-4485,-407,967,697,-254,-631,-1771,-793,-2057,-7
226,-3288,-6135,-2846,4712,-220,-4490,-406,969,699,-252,-628,-1768,-791,-2074,-4
227,-3281,-6136,-2854,4708,-212,-4495,-408,970,698,-252,-628,-1767,-789,-2084,-2
228,-3277,-6139,-2862,4708,-207,-4500,-409,970,697,-253,-629,-1769,-786,-2084,-3
229,-3273,-6139,-2865,4706,-203,-4502,-403,972,699,-252,-627,-1769,-787,-2077,-7
230,-3275,-6141,-2864,4708,-205,-4503,-397,975,700,-251,-628,-1769,-787,-2074,-7
231,-3284,-6149,-2864,4716,-209,-4506,-400,973,698,-250,-630,-1773,-789,-2082,-6
232,-3272,-6151,-2878,4711,-196,-4515,-412,965,696,-252,-633,-1775,-789,-2090,-6
233,-3282,-6159,-2876,4720,-202,-4517,-416,964,693,-258,-638,-1782,-795,-2082,-9
234,-3301,-6162,-2860,4731,-219,-4511,-404,973,698,-256,-636,-1787,-804,-2082,-13
235,-3291,-6159,-2867,4725,-211,-4513,-405,975,701,-253,-637,-1787,-806,-2094,-11
236,-3292,-6165,-2872,4729,-209,-4519,-412,969,693,-261,-647,-1796,-810,-2094,-13
237,-3290,-6167,-2877,4728,-205,-4522,-408,965,686,-266,-654,-1800,-813,-2091,-15
238,-3286,-6166,-2880,4726,-202,-4523,-409,963,686,-269,-658,-1798,-811,-2088,-15
239,-3293,-6169,-2876,4731,-208,-4522,-408,960,683,-272,-661,-1804,-814,-2085,-19
240,-3286,-6165,-2879,4726,-202,-4522,-414,962,685,-270,-658,-1803,-815,-2090,-23
241,-3275,-6158,-2882,4717,-195,-4520,-408,968,691,-266,-653,-1797,-816,-2084,-25
242,-3281,-6162,-2880,4722,-199,-4521,-400,969,690,-261,-650,-1796,-819,-2074,-26
243,-3274,-6159,-2885,4716,-194,-4522,-403,973,695,-256,-643,-1792,-815,-2082,-25
244,-3264,-6146,-2881,4705,-191,-4513,-397,981,702,-249,-631,-1779,-812,-2074,-24
245,-3280,-6153,-2873,4716,-202,-4513,-402,984,705,-247,-625,-1775,-812,-2075,-26
246,-3291,-6167,-2875,4729,-207,-4521,-387,983,702,-254,-632,-1782,-819,-2093,-29
247,-3301,-6173,-2870,4737,-215,-4521,-378,980,701,-257,-638,-1789,-825,-2106,-28
248,-3301,-6174,-2871,4737,-214,-4522,-385,980,704,-255,-631,-1787,-823,-2109,-25
249,-3298,-6172,-2874,4735,-211,-4523,-381,977,700,-254,-629,-1784,-822,-2102,-25
250,-3293,-6172,-2878,4732,-207,-4525,-385,982,701,-254,-630,-1782,-824,-2103,-25
251,-3288,-6174,-2885,4731,-201,-4529,-386,988,706,-250,-629,-1780,-825,-2112,-23
252,-3295,-6179,-2883,4737,-205,-4531,-384,985,711,-243,-629,-1782,-827,-2111,-24
253,-3303,-6189,-2885,4746,-208,-4537,-377,991,715,-241,-627,-1780,-830,-2101,-28
254,-3302,-6196,-2893,4749,-203,-4544,-376,989,711,-244,-633,-1782,-830,-2104,-26
255,-3294,-6194,-2899,4744,-196,-4547,-379,985,708,-247,-637,-1786,-831,-2106,-25
256,-3297,-6192,-2894,4745,-201,-4543,-379,987,709,-246,-641,-1788,-835,-2102,-29
257,-3293,-6191,-2897,4742,-197,-4544,-381,987,711,-244,-638,-1785,-831,-2101,-27
258,-3289,-6194,-2905,4741,-191,-4550,-375,991,711,-241,-634,-1785,-831,-2105,-29
259,-3292,-6192,-2899,4742,-196,-4545,-374,993,713,-240,-628,-1781,-830,-2107,-29
260,-3289,-6194,-2904,4742,-192,-4549,-372,994,715,-241,-626,-1780,-829,-2110,-31
261,-3296,-6207,-2910,4751,-192,-4559,-374,992,711,-243,-631,-1787,-833,-2126,-32
262,-3310,-6212,-2901,4761,-204,-4556,-371,994,709,-245,-634,-1790,-836,-2124,-33
263,-3323,-6217,-2894,4770,-213,-4556,-354,1000,707,-252,-642,-1795,-847,-2111,-37
264,-3315,-6212,-2897,4764,-208,-4555,-337,1010,710,-256,-647,-1798,-863,-2109,-37
265,-3306,-6217,-2910,4762,-197,-4564,-317,1023,712,-264,-660,-1805,-889,-2115,-45
266,-3321,-6239,-2917,4780,-201,-4578,-288,1039,712,-278,-678,-1819,-921,-2125,-60
267,-3347,-6268,-2920,4807,-213,-4594,-246,1059,705,-304,-704,-1842,-964,-2155,-72
268,-3381,-6308,-2925,4844,-227,-4617,-197,1080,695,-333,-742,-1872,-1025,-2173,-95
269,-3389,-6320,-2930,4855,-229,-4625,-145,1110,696,-354,-765,-1890,-1077,-2170,-119
270,-3394,-6335,-2940,4865,-226,-4638,-98,1137,693,-379,-790,-1904,-1116,-2187,-133
271,-3425,-6359,-2934,4892,-245,-4647,-57,1155,679,-408,-820,-1925,-1157,-2204,-148
